id,tweet,class
198,"""@MotherJones: 10 birds your grandkids may never see, thanks to climate change http://t.co/XqmXHkAsWt http://t.co/RbITeGRnhm"" #Climate",other
204,"""@NoChillPaz: ""At least I'm not a nigger"" http://t.co/RGJa7CfoiT""

Lmfao",hate speech
206,"""@NotoriousBM95: @_WhitePonyJr_ Ariza is a snake and a coward"" but at least he isn't a cripple like your hero Roach lmaoo",hate speech
207,"""@OSAY_it_aint_so: &#8220;@IgnoreAllLaws: Fosters home for imaginary trash&#8221; WHOA CHILL""

that show was everything tf",other
218,"""@QUAN1T0: 61% of welfare/government aid is claimed by white people. So y'all black slander is trash now.""",other
221,"""@RTNBA: Drakes new shoes that will be released by Nike/Jordan.... Yes, there's glitter on the shoes http://t.co/QCtPLxHEXM"" ....dudes a fag",hate speech
222,"""@RachieSoul: @DizzleOfficial inna di ghetto!!!"" You alone lmaoo",other
223,"""@RamBoutIt: &#8220;@Master11_: @20ToLife_ @RamBoutIt hoes Austin&#8221; teach us Austin.""I teach u how to get curved? That's all I know",other
242,"""@SportsCenter: Eli Manning just threw his NFL-leading 27th interception of the season."" Lmao trash",other
243,"""@SportsCenter: USC senior RB Anthony Brown calls head coach Steve Sarkisian a racist and quits team. &#187; http://t.co/JOOsdSubIR"" he's a bitch",other
245,"""@Stephenwildboy: Chilling &#128069;&#8482; http://t.co/mik3iPNle6"" sexy scally lad",other
250,"""@TEE_JONEZ: @16stanleys @KingCuh tuku ho idk blah blah blah"" &#128514;&#128514;&#128514;",other
251,"""@TEE_JONEZ: @KingCuh @16stanleys I'm not mad cuh hahaha"" suure.. tuku ho ita! &#128514;&#128514;",other
262,"""@Theo17100: http://t.co/BYj1HOyhmG"" this scally lad would get it",other
263,"""@TheoMaxximus: #GerrysHalloweenParty http://t.co/3ycrSrnjHc"" Halloween was yesterday stupid nigger",hate speech
272,"""@UberFacts: 15 sad TV character deaths we're still bitter over... http://t.co/uLclFUF8nC http://t.co/1RXYQOOsM0""ned stark was the man",other
277,"""@WBUR: A smuggler explains how he helped fighters along the ""Jihadi Highway"": http://t.co/UX4anxeAwd""",other
287,"""@Yankees: Down 6-1, #Yankees look to rally in the bottom of the 9th."" #RALLYCAP",other
317,"""@ashlingwilde: @ItsNotAdam is bored supposed to be cute, you faggot?"" Sometimes",hate speech
318,"""@ayyee_ceee_: One mans trash &#128686; is another mans treasure &#127942;""",other
320,"""@bigbootybishopp: @white_thunduh lassen cc , the coach wants me"" i feel it youll get more my nig no doubt",hate speech
326,"""@complex_uk: Ashley Young has tried to deny that bird s*** landed in his mouth ---&gt; http://t.co/mlr5eWgonK https://t.co/AvCHFj7reM"" hahaha",other
328,"""@deepthroatMike: ""@Boys_South: Take me for a ride &#128525;&#128139; http://t.co/H5mAtjYfGA""#redneck"" woof woof",other
334,"""@g0rillaz0e: Sitting on my window sill, window open, bird tries to fly in. Smacked it. #ProtectTheAnimals"" @peta",other
336,"""@greggutfeld: a video an entire media will likely mock. http://t.co/XFr1cRXWSm"" i am such a crybaby",other
341,"""@hxhassan: Jihadi patron Hajjaj al-Ajmi is arrested at Kuwait airport https://t.co/ZmloKfWDQl""",other
346,"""@iTrapWatermelon: tweety bird tho &#128514;&#128514;&#128514;&#128514;https://t.co/JbnoNM3N1P""",other
348,"""@itscoleharmon_: When twitter rappers dm me their trash links http://t.co/35nMR4AUQg""",other
354,"""@jayswaggkillah: Jackies a retard #blondeproblems"" At least I can make a grilled cheese!",hate speech
356,"""@jethromass: Photo: http://t.co/CxRs5BVhPw"" he is in sole heaven",other
357,"""@jgabsss: Stacey Dash won &#128166; http://t.co/PDLG46rjOL"" baddest bitch evaaaa",hate speech
361,"""@kazooook: We actin like it's the 7th day @WesGodLaFlare http://t.co/s9gMtEvpaT""
&#128123;spook",other
369,"""@metroadlib: colored contacts in your eyes?
blinders on mine.
cause i can't see you at all."" Lmao",other
375,"""@nohands_24: ""@20ToLife_: ""@nohands_24: ""@DejaaLeeann_: @B_Coleman2 swears I'm #1 man"" easily"" easily"" behind Austin"" nip?",other
377,"""@oldpicsarchive: H.G.Wells and Charlie Chaplin http://t.co/sTiDDHK3WT"" #History #Photography",other
384,"""@rhythmixx_: I told Mariam to but cigarettes for her birthday""

You also called me trash rn",other
385,"""@riananewman: @22EdHam brownies tonight"" what kind?!?!",other
389,"""@rugbysocklad: Fit lads! Nice gear! http://t.co/ThnXX1lC1M"" these scally lads n trainers would get it",other
396,"""@sleepy_yongguk: ""I saw an ajumma walk out in the beginning saying, 'Wow, this is so trash that I can't even listen to it..'"" &#128514;"" lmaoo",other
400,"""@socass_: Dude remember this wop video? @00sexilexi00 http://t.co/P3HEuBOQBu"" OMG WHERE DID YOU FIND THAT",other
402,"""@soxdawg: RAWR!! RT @skinrubberboi: ""My"" sexy French scally. I love him! #frenchscally http://t.co/5idQ3R5Akz"" sexy scally woof woof",other
420,"""@worldtraveIs: Baby albino &#128034; http://t.co/2tYTQJ3fec"" @Meeeesh1395",other
430,"""Bae"" sounds like such a ghetto word. Use something else",other
434,"""Brownies for my brownie"" I love this movie. &#128517;",other
438,"""Chinese Maverick: We were communicating Comrade , u know giving the imperialist Yanks the Birdie"" https://t.co/38GZ1jerPS",other
443,"""Don't worry about the nigga you see, worry about the nigga you DON'T see... Dat's da nigga fuckin yo bitch.""",hate speech
455,"""Generate ASCII boxes with NodeJS"" all I see is the ability to bring flappy-bird in node via ASCII tubes and bird ^_^ http://t.co/lRJWDFhv7T",other
466,"""Hey go look at that video of the man that found the kidnapped girls in Ohio........what a nigger"" - #shitmybosssays",hate speech
468,"""How about we draft all those gung-ho folks and send them to Afghanistan or other war zones so they can show their... http://t.co/sR1zceHx",other
474,"""I am a thrill billy..with a hillbilly heart."" -@billyraycyrus. HAHAHAHAHA Jesus Murphy!",other
481,"""I found a new way to chug you have to open your mouth alot"" #shitallysays",other
502,"""I'll slit your throat-neck"" http://t.co/ChFFSDeDdd",other
518,"""Is that an albino Mexican?""
""No dad, he's Asian.""",other
524,"""Just follow the yellow brick twitter.""",other
526,"""LOL, cripple!"" - Wendy Davis. RT @MailOnline: Scientists create remote-controlled chick to study shy penguins http://t.co/mT3B09Slod",other
528,"""Let's kill cracker babies!"". WTF did I just hear???????? WOW.",hate speech
532,"""Mam, Ren&#233;e doet in haar rol net of ze ongesteld is Wat is ongesteld?"" Van dat soort vragen waar je denkt: hoe leg ik die weer uit.",other
534,"""Mine plays DMX and kirk Franklin smh @_justcallmeBRIT: Well my neighbors are ghetto . They get up at like 5am and beat their kids.""",other
535,"""My grandma used to call me a porch monkey all the time... Come to think of it she did refer to a broken bottle as a nigger knife"" &#128563;",hate speech
540,"""Nah its You @NoMeek_JustMilz: &#128514;&#128514;&#128514;&#128514; yo i thought some1 photoshopped my face on that faggot smmfh...i hate yall"" http://t.co/5e2fkQ3Q2T",hate speech
546,"""OVO"" &#8220;@Allthingsfresh3: &amp; kendrick lamar still trash&#8221;",other
548,"""Only a couple of Red Sox have gotten past first base."" I'm dying laughing. Maybe the Yanks need to teach them some game.",other
549,"""Our people"". Now is the time for the Aryan race 2 stand up and say ""no more"". Before the mongerls turn the world into a ghetto slum. 1488",hate speech
570,"""The devil grows inside the hearts of the selfish and wicked
White, brown, yellow and black color is not restricted""",other
571,"""The water isn't yellow, I'm a healthy student""",other
574,"""These sour apple bitter bitches, I'm not fuckin wit em""",hate speech
577,"""They have to. That division is trash @NoMeek_JustMilz: Saints gon win the NFC South...watch""",other
580,"""This recipe calls for a leftover brownie. What the hell is a LEFTOVER brownie? That's just a brownie you haven't eaten yet.""-@EricaNadine26",other
584,"""Two roads diverged in a yellow wood, and I chose the one to J&#246;tunheimr""
- Robert Frost Giant",other
591,"""We hate niggers, we hate faggots and we hate spics""-kkk rally",hate speech
592,"""We're out here, and we're queer!""
"" 2, 4, 6, hut! We like it in our butt!""",hate speech
597,"""Who the fuck you callin jiggaboo, nigga?!""",hate speech
598,"""Why people think gay marriage is okay is beyond me. Sorry I don't want my future son seeing 2 fags walking down the street holding hands an",hate speech
607,"""YAH"" has said in his word that the Mtzra'ym(egyptians) are his people and Ysrah'al is his inheritance and the Kushite(ethiopians).....",other
608,"""Yaoooooooo @yea_im_JAMAICAN: Mawnin yardies! &#128154;&#128155;&#128536;""",other
613,"""You ain't gunna do shit spear chucker""",hate speech
621,"""You hit no lights, no line for toco bell at 2 in he morning, and Diana's back in her house. It's a miracle"" - Charlie @dianaaaxo",other
623,"""You look like little birds help you get dressed in the morning""",other
624,"""You ol trout mouth ass bitch"" 
DEEEEAAAADD",hate speech
631,"""Your teeth are like the stars."" ""Aww thanks!"" ""Yeah... yellow and far away from each other.""",other
635,"""ayo i even kill handicapped and crippled bitches/look at my scalp real close and you'll see triple sixes""",hate speech
645,"""fuck you you pussy ass hater go suck a dick and die quick"" - Someone, to me, in Youtube comments. I think we'd be good friends.",hate speech
646,"""hick and raver is a venn diagram that has a very large intersection""",other
656,"""on my way to fuck your bitch in the name of The Lord"" - Mr. Race",hate speech
657,"""poor whitey"" http://t.co/3UkKeyznz8",hate speech
662,"""when rappers say twat it makes me feel weird"" &#128514;&#128514;&#128514;&#128557;",other
670,#2013Faves RT &#8220;@grahamorama: #Snoop and #Justin are having so much fun at this Charlie Wilson tribute #BETAwards https://t.co/C6NHwUBlXN&#8221;,other
673,"#AZmonsoon lot of rain, too bad it wasn't enough to wash away the teabagger racist white trash in the state. #Tcot #teaparty #azflooding",hate speech
678,#AskDems Aren't you embarrassed that Charlie Rangel remains in your caucus?,other
680,"#BREAKING: AP calls Mass. Governor race for Charlie Baker. Watch live coverage on WCVB, streaming online. http://t.co/S6hY2eVoaT",other
684,"#BigBird was made by a gay couple. So yes, under a GOP world the bird would not have existed since its creators would be in jail for sodomy.",other
686,"#BlessJesus Amos 3:3 - Can two walk together, except they be agreed?",other
687,#BlessJesus Amos 5:10 There are those who hate the one who upholds justice in court and detest the one who tells the truth.,other
688,#BlessJesus The #Crown of HIS head to the sole of HIS feet,other
689,#BlessJesusAir Matthew 6:26 Look at the birds of the air.. and yet your heavenly Father feeds them.Are you not much more valuable than they?,other
690,#BlessJesusLove Happy Belated ( Sixty-Fifth) 65 Birthday *28 Aunt Mary Agnes #Strong,other
693,#California is full of white trash,hate speech
694,#California is full of white trash who moved from #Oklahoma,hate speech
697,"#CommonQuestionIGet

Why uou so ghetto?",other
700,#DTLA is trash because of non-Europeans are allowed to live there.,hate speech
708,"#DegenerateArtist Sniffs whiffy balls involuntary, cuz a FAIRY walks DOWNTOWN HAIRY, #climatechange all our scary sense of hillbilly sneeze&gt;",other
709,"#DerekJeter as a lifelong #Yankees man, I will miss you. #FirstBallot
#Unanimous",other
710,#Dutch farmers are white trash.,hate speech
711,#Dutch people who live outside of #NewYorkCity are all white trash.,hate speech
712,#EarlyBird #early #morning #sunrise #dawn #bird #thebird #jerryreed @ Kansas City http://t.co/kuVq8UpwUw,other
713,#Ebola Great and I thought the panic from bird flu was bad. I really ain't got time for that.,other
714,#Ebola is a great metaphor for how #GOP #teaparty policies eat off of vital organs until the host dies. #Tcot #teabaggers,other
715,#ExplainAnAnimePlotBadly Boy with a monkey tail grows up to the the savior of a futuristic yet old earth,other
718,"#FemaleLogic is worse than the jig, I'm convinced",other
719,#FireCashman Why?? Because I am having to root for the Royals in October. #Yankees,other
723,"#Glory Isaiah Mom asked me if I wanted a brownie I said, no thanks 
She said what are fasting,",other
724,#HOLIDAYSEASONLIVE @ShyGlizzy @plies Shy Glizzy Feat Plies - FREE THA GANG: http://t.co/pYGOSk0qCP,other
725,#HappyColumbusDay !!!! If is wasn't for #America.................#KarlMarx would never have thought of sharing #colonialism with #injuns !!!,other
726,#HappyColumbusDay .....hate to sound all #PETA callous and all........but #buffalo had it a LOT WORSE than the #injuns..........,other
728,#HellYeah RT @BaconGawd #No RT @HuffingtonPost Happy Fall! Pumpkin Spice Oreos are here http://t.co/2prvsKantE http://t.co/hleYm0YC29,other
729,"#HelloBrookland! We're here at the @MonroeStMarket opening! Serving free samples of cider, vegan sliders, brownies! http://t.co/BW9uYtLQu1",other
730,"#HolySpirit Joshua 1:3 Every place that the sole of your foot shall tread upon, that have I given unto you, as I said unto Moses.",other
735,#IU 8 straight nation #college soccer champions! Wow! #hoosiernation #hoosiers &#9917;&#127942;,other
736,"#IU should make me an honorary student, id be way cooler than the other international students. i have my own football card! #hoosiers",other
740,"#IndigenousPeoplesDay .........right. Because these #redskins had a lot of #queens, right? nomg. #sofunny",other
742,#Iowa is full of white trash,hate speech
743,#Iraq gov troops were handed a severe defeat by #ISIS at Saqlawiya -- there's chatter of over 300 soldiers lost &amp; Jihadis raving about it,other
744,#JesusChrist was STRAIGHT&gt; That's why the #faggots killed him. #PERIOD #SonOfGod&gt;,hate speech
750,#Minnesota is full of white trash,hate speech
753,"#NP ""Centuries"" ~FOB",other
755,#Natitude? Okay. I'm only going to say it once. COMB yer BEARDS. #lol #wiggers,other
756,#NowPlaying : BT feat. Tori Amos - Blue Skies (radio edit) on #1069TheArrow - http://t.co/R5wuXA9jB6,other
757,#NowPlaying : Great White - Once Bitten Twice Shy on #1069TheArrow - http://t.co/R5wuXA9jB6,other
758,#NowPlaying : Ian Hunter - Once Bitten Twice Shy on #1069TheArrow - http://t.co/R5wuXA9jB6,other
759,#NowPlaying : The Doors - The WASP (Texas Radio and the Big Beat) on #1069TheArrow - http://t.co/R5wuXA9jB6,other
762,#PDPLive is on November 10th. Get your early bird tickets from http://t.co/7xcL4Kyiuv @LifeOfShan http://t.co/ZcnP1ljoOW,other
763,#PacerNation 4/4 on the road! Perfect way to continue after #iubb have finished #NBA #Pacers #indiana #hoosiers,other
768,"#RadioFreeNorthwest 218
Covington reads responses &amp; mocks FBI, Andy on Real Politics, Liv on her awakening, Gretchen
http://t.co/t9JyhAncPR",other
772,#ReasonsWeCantBeTogether if u was talkin to my nig or smashed da homies,hate speech
775,"#RebelScience ......is using an ACTUAL WOMAN as a genetic engineering lab for ""all natural clones""..... or something...... #faggot #rome",hate speech
776,"#RedSox, focus on the #Orioles that knocked you out last year, and not your hatred of the #Yankees for um-teen years! LOL!",other
778,#Royals 2-1!! Fantastic. Ready for tomorrow's sweep of the disposed O's. #Yankees 4ever except this month.,other
779,#Royals Milwaukee let Yost go.Now they wished they hadn't cause they suck.How about now.He's the guy win or lose. Yankees fire Girardi &#128073;Yost,other
780,#RuinAComedian @midnight Charlie Lapdance,other
788,#Skating is for trash.,other
789,"#SlightlyAdjusted RT @CapoToHeaven Alls niggers wanna do is fuck, tweet, and drink pineapple soda all day",hate speech
790,#SomethingIGetAlot Are you... asian? black? Hawaiian? gay? retarded? drunk?,hate speech
791,#SouthCarolina is full of white trash,hate speech
794,#StopWhitePeople RT @ABC7: 9 cases of West Nile virus infections reported in Orange County this year; 105 dead birds found carrying virus,other
795,#TBT love you forever ling ling &#128115;&#128114;&#128152; @brittneycordova http://t.co/KEcfNjyrwE,other
796,#THEBOONDOCKS at 10:30 my nicca!,other
797,#TRUTH RT @notashley: David is the Charlie Brown of #Scandal,other
803,#ThingsIWillTeachMyChild how to play deez niggas n bitches dat be snakes,hate speech
807,"#TrayvonMartin referred to Zimmerman as a ""creepy ass cracker"". Racist thug.",hate speech
808,"#TweetLikePontiacHolmes&#160;
I do the Pontiac sprinkler...

Nigga nigga nigga nigga spic spic spic spic nigga nigga nigga nigga",hate speech
811,"#VinitaHegwood can get a job at the naacp. Or as The AG. I hear they like ""diversity and tolerance"". As long as you ain't a cracker #tcot",hate speech
812,#Virginia is full of white trash.,hate speech
814,#WeAreRepublicNotRegime #POTUS BO violated USA sovereignty w/open border/Jihadis/criminal/diseased/Haitians/S.Americans #ImpeachObama,other
815,#WestVirginia is full of white trash.,hate speech
816,#WhatImCraving Peanut Butter Oreos &lt;3,other
820,#WorldSeriesGame3 Hunter Pence is so annoying he should be a Red Sox player. Shave fool and take your Vyvanse&#9918;&#65039;&#9918;&#65039;&#128074;&#128074;#Yankees 2015!!,other
821,#Yankees,other
822,#Yankees #FireCashman I don't want Arod back.,other
823,#Yankees #Jeter Let him play the entire inning. That's fitting.,other
824,#Yankees #SEC Robertson in. Guy is fantastic. SEC pitcher!!,other
825,"#Yankees 3, #Astros 0: McCarthy outduels Keuchel in series finale http://t.co/hIJJAUKtJN",other
826,#Yankees 6-0. Nine straight hits. Price... Not your night.,other
827,#Yankees Damn you DirectTv blackout the Yankee game. With a freaking WALK OFF! You're killing me satellite douche.,other
828,#Yankees Damn. Well Joe that move to the bullpen really helped.,other
829,#Yankees I ain't complaining about the Royals win or lose game7. They showed heart. AL ride or die! No flex zone. They earned it!,other
830,#Yankees I went to Golds with Cruz in 2010 when he was a Sound. No upper /lower body strength.. Hmm now 40 HR hitter. Won't say the S word.,other
831,#Yankees If Royals have a fire sale. I want the whole team!! Leave Gardner and Tanaka. The rest can please go. Along with Joe and Cash.,other
832,#Yankees Nice bounce back @Michael Kay. Gotta keep this going!,other
833,#Yankees Pineda needed that 6'7. Great play!,other
834,"#Yankees Primo! Just got home and the Tanks are on MLB. Finally! And they are winning! Even better. Time to get serious, Sept call up time",other
835,#Yankees got beaten by a thug,other
836,"#Yankees take all three games in MoTown, I'm callin' it!!! #MLB",other
837,#Yankees wasted Nu&#241;ez's season #rays #mlb,other
848,#drunk #trash #trashed #wasted @ The Draught Horse http://t.co/UvWkhpEswh,other
850,"#faggots are MERELY a #scientific indicator that SOMETHING IS WRONG&gt; Do not celebrate as ""unique indiviuals"" for they are #cancer&gt;",hate speech
851,#firefighter is a job for white trash,hate speech
852,#foxnews cuts away when a Democrat talks and claim to be fair and balanced. LMAO network full of #teabaggers and liars.,other
853,#gouache #inktober #oldpainting #mt #tiki #wahine #surf #monkey #bright #happysunday #peace wishing&#8230; http://t.co/l73hiK0IZ8,other
856,"#hoosier fans, is cody zeller nominating for this years #NBA draft? #iubb",other
859,#inners Still hanging in. #Yankees we need this win. NFL. It's not SUNDAY!!,other
860,#iubb #1 suiting up again tonight! #Indiana #IU #ncaa #hoosierdaddy #HoosierNation #hoosiers,other
863,"#metal only, honkies!",other
864,#milesthompson #goauche #wetback #ca http://t.co/g3Ze8bqLPG,hate speech
867,#mt #commission #gouache #tiki #wahine #monkey #tubed #surfing #wavesliding #waterwalker #notkook http://t.co/vii3SmGRm3,other
868,#mt #goauche #monkey #oldpainting #vinyl #jazz #lounge http://t.co/hueH4HCxx7,other
869,#mt browngal #gouache #monkey #tiki http://t.co/kFhj8lWhbs,other
872,#np Shy Glizzy - Awwsome (Remix) (Feat. 2 Chainz &amp; A$AP Rocky) via @Spinrilla. http://t.co/OWxtdRKWbC,other
875,#philhughes @Yankees #nyy better then UR whole team,other
891,"#porn,#android,#iphone,#ipad,#sex,#xxx, | #Desi | paki http://t.co/XxcdQvzI9t",other
892,"#porn,#android,#iphone,#ipad,#sex,#xxx, | #Desi | paki http://t.co/cOfGRtW9br",other
921,"#porn,#android,#iphone,#ipad,#sex,#xxx, | #Teen | Cutie lesbian teens toy slits http://t.co/ZS05enjjwm",other
925,#portlandia #putabirdonit RT @mightymouse105: The Xbox One would be so much cooler if they put a bird on it,other
928,#redneck tow truck. #johndeere #4455 #america https://t.co/iFInqwVRad,other
929,"#rejectedpeanutsspecials Its The Grape Crackhead, Charlie Brown!",other
930,#southcarolina has a highschool graduation rate near 50% and that's why they have so many uninformed #teabaggers #morningjoe,other
931,#stateoftheunion would last 15mins if they let the President talk all that standing up clapping is for the birds,other
933,#tbt my precious gook baby &#128525;&#128525;&#128525;&#128525;&#128525;&#128525; @outtapocketjuju http://t.co/2QJLJj6tK5,other
935,#tbt when i took my likkle monkey jimmys http://t.co/LIK3xpZ6eZ,other
936,"#teabagger state like mississippi opposed to minimum wage, child labor laws, unions, is pro-scab, sweatshop work - pretty much #SLAVERY.",other
938,#tikiti - rough mock for the base of what will eventually be an ashtray @ Tiki Ti http://t.co/8zE8aqY0,other
942,#uppers loving the show this morning. Chris is directing the conversation beautifully. Make the teabaggers talk!,other
953,"&#127813;&#127813;&#127813; RT @GottliebShow: ""Killer line?"" @SBNationNBA: Josh Smith dropped a killer trash talk line on Kenneth http://t.co/C8d3sJoUpj&#8221;",other
956,&#127867;&#127867;&#127867;&#127804;&#128153;&#127913; plus Sheryl crow http://t.co/49KYwZnotU,other
958,&#128027;=&#128176;&#128184; &#8220;@GOALSminded: its true that the early bird.. gets the worm first!&#8221;,other
971,&#128075; hi-ho http://t.co/FiC4FnRutZ,other
988,&#128514; &#8220;@BossmobbE: Racist all month .. Fuck u honkey&#8221;,hate speech
991,&#128514; RT @TheOnlyReed: LMFAO RT @Tone314: If you watching porn &amp; beating off &amp; yo homie text u &amp; it show his name in the banner you're a faggot,hate speech
998,&#128514;&#128514; fucc nicca yu pose to be pullin up,hate speech
999,&#128514;&#128514; maaaaannnn i hope so! RT @ABrown252: @VonshayeB did we get rid of John Legend looking Charlie Batch?,other
1000,&#128514;&#128514; mike calls me t-bird @mikemastroccco,other
1010,"&#128514;&#128514;&#128514; i just said that RT @BoyThats_ARYAH: My TL gotta chill with this pretty face challenge foolishness, y'all hoes agg",hate speech
1029,&#128514;&#128514;&#128514;RT @kwagiheath: Them 1st 48 Charlotte goon niccas gon Fkkk around and burn Bank Of America stadium down&#128293;,hate speech
1037,&#128520;&#127383; we snap chatted for one night lol. But you're cute. Snapchat me back nig,other
1040,"&#128525;&#128525;&#128525;

&#8220;@whatskillfeed: i guess ill just trash this drawing because of roster changes...&#128532; http://t.co/2r8wqgE8cR&#8221;",other
1043,&#128530; my nerves are being worked cos of my monkey &#128529;&#128545;,other
1052,&#128553; monkey mad,other
1071,&#128557;&#128557;&#128557;&#128530; RT @KingHov1313: At work imma real Uncle Tom!&#128584;,other
1074,&#128563; RT @KingHov1313: They recruited buku fags in here!&#128563;...a warehouse is no place for them!&#128530;,hate speech
1090,&#193;lbum de fotos: csitaly: [TS3]Fairy Tail - Satan Soul Mirajane Strauss made with The Sims 3. Happy... http://t.co/b4i8EiMux2,other
1091,"&#193;lbum de fotos: gaywrites: In the Making, a project by and for queer students at Harvard, highlights the... http://t.co/XZQ9XmaQTf",hate speech
1092,&#8216;Chillin&#8217; With My Homie Or What&#8217;s Left Of Him&#8217;: British Rapper Turned ISIS Jihadi Poses With Severed Head http://t.co/L9vMdNOXPg #tcot,other
1111,&#8220;@ATrue_Cowboy: Truth about any distance for all you love birds out there! http://t.co/1Kqnw4LJ&#8221;,other
1112,"&#8220;@A_Brown_30: Frogger, best game ever&#8221; only cuz You suck at flappy bird",other
1115,&#8220;@AbstractLife: @NigelDixon1 @SeanTHarrington Orton is trash idc&#8221; he ain't been playing. Trashlex Smith only sat out Kaep took his spot.,other
1117,&#8220;@AdderallHadMe: Adderall had me killing two birds with one stone http://t.co/wMiNpN64m2&#8221;&#128128;,other
1121,&#8220;@AlexaDelsanter: This is awkward u fag @corleyhuff @vitchhhh http://t.co/HUDOhA6YQe&#8221; wonder who's awesome tank that is &#128522;,hate speech
1126,&#8220;@Amburger_6: Wtf is flappy bird&#8221; are you kidding me,other
1132,&#8220;@AntiGlib: RT @nateyfu123: #Yankees Michael Pineda in his next start.. http://t.co/Zb1zWN0jet&#8221; @954Nole,other
1137,"&#8220;@AshlynWynns: I'm a ""mud shark"" because I have black friends. Makes perfect sense. &#128514;&#128557;&#128514;&#128557; #idiotic&#8221; @",other
1138,&#8220;@Ashton5SOS: An itsy bitsy teeny weeny yellow pock-a-dot bikini&#8221; Polk Ashton. Polk,other
1141,&#8220;@AustinMahone: just got a new fish it's albino and I named him shaquita #yee&#8221; bahaha,other
1153,&#8220;@BasebaIIVines: Michael Pineda hides pine tar...on his neck http://t.co/PJRKJeaY6h&#8221; fact that the Yankees cheat &#128077;&#128077;&#128077; Go Red Sox!! #Boston,other
1159,&#8220;@BeautyOfASinner: So they really deleted flappy bird from the App Store cus someone killed themselves over it &#128514;&#8221; foreal foreal ?? &#128561;&#128557;,other
1162,&#8220;@BestOfAds: Rape? Cannibalism? You Won't Recognize The Original Versions Of These Fairy Tales http://t.co/PrnJ8EFAoi&#8221; man wtf,other
1167,"&#8220;@BixxhMakeMeRich: If u ask me, every bitch gay&#8221;or ""bi""",hate speech
1173,&#8220;@BobbyBudnic Oxtails and yellow rice is blasphemy&#8221; boneless,other
1183,"&#8220;@BurgerKing: What&#8217;s going to be your pick for #SelectionSunday? #2for5 #WatchLikeaKing http://t.co/aBam30gSk4&#8221;

Dis make colored folk happy",other
1186,"&#8220;@CMRE24 wasn&#8217;t that great to me either RT @Ahki117: ""Equalizer"" was trash Denzel officially washed bruh&#8221;neither was flight",other
